Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Caring Connection sign up,Chrome 127.0.0.0,,,20-08-2024 23:12:48,20-08-2024 23:14:15,1m - 26.195s,PASSED
,,,,,,,
Test Cases/Caring Connection/Sign Up,Chrome 127.0.0.0,,,20-08-2024 23:12:49,20-08-2024 23:13:14,25.665s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 127.0.0.0,,,20-08-2024 23:12:49,20-08-2024 23:12:59,10.034s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,20-08-2024 23:12:59,20-08-2024 23:12:59,0.087s,PASSED
"click(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/Sign Up(1)""))",Chrome 127.0.0.0,,,20-08-2024 23:12:59,20-08-2024 23:13:03,3.874s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__name""), name)",Chrome 127.0.0.0,,,20-08-2024 23:13:03,20-08-2024 23:13:04,0.882s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/Zip Code""), zipcode)",Chrome 127.0.0.0,,,20-08-2024 23:13:04,20-08-2024 23:13:04,0.628s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__username""), username)",Chrome 127.0.0.0,,,20-08-2024 23:13:04,20-08-2024 23:13:05,0.625s,PASSED
"setText(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__password""), password)",Chrome 127.0.0.0,,,20-08-2024 23:13:05,20-08-2024 23:13:06,0.641s,PASSED
"click(findTestObject(""Caring Connection/Page_CaringConnections-v-1.19/input__role""))",Chrome 127.0.0.0,,,20-08-2024 23:13:06,20-08-2024 23:13:06,0.538s,PASSED
delay(3),Chrome 127.0.0.0,,,20-08-2024 23:13:06,20-08-2024 23:13:09,3.045s,PASSED
